seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,1,0,4,0,1,0,4,0,39.83793839998543,,39.82269169995561,39.83793839998543,39.83793839998543,39.83793839998543,39.83793839998543,39.83793839998543,40.37248989997897,['1'],[0.5301862000487745],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,0,4,0,1,1,5,1,40.38780359993689,,40.37287869991269,40.38780359993689,40.38780359993689,40.38780359993689,40.38780359993689,40.38780359993689,41.238792999996804,['4'],[0.8470708000240847],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,0,4,0,1,2,6,2,41.25459879997652,,41.239156499970704,41.25459879997652,41.25459879997652,41.25459879997652,41.25459879997652,41.25459879997652,41.92218380002305,['2'],[0.6537293000146747],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,0,4,0,1,3,7,3,41.93794510001317,,41.92256929993164,41.93794510001317,41.93794510001317,41.93794510001317,41.93794510001317,41.93794510001317,45.02331289998256,['3'],[3.0836237999610603],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,3,1,0,4,0,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,1,5,3,0,0,0,0,45.03802460001316,,45.02660699991975,45.03802460001316,45.03802460001316,45.03802460001316,45.03802460001316,45.03802460001316,46.10596820001956,['1'],[1.0660204999148846],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,1,5,3,0,1,1,1,46.12139380001463,,46.10662929993123,46.12139380001463,46.12139380001463,46.12139380001463,46.12139380001463,46.12139380001463,47.189002899918705,['4'],[1.056968499906361],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,1,5,3,0,2,2,2,47.2047748999903,,47.18938519991934,47.2047748999903,47.2047748999903,47.2047748999903,47.2047748999903,47.2047748999903,48.488920499919914,['2'],[1.2728029999416322],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,1,5,3,0,3,3,3,48.50487099995371,,48.48930699995253,48.50487099995371,48.50487099995371,48.50487099995371,48.50487099995371,48.50487099995371,49.955315799918026,['3'],[1.4377872999757528],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,1,5,3,1,0,4,0,49.97126129991375,,49.95570409996435,49.97126129991375,49.97126129991375,49.97126129991375,49.97126129991375,49.97126129991375,50.8223972999258,['1'],[0.8345534999389201],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
