reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,9,3,66,1,173.5522007999998,,173.5384243999997,173.5522007999998,174.55231600000025,174.55231600000025,174.55231600000025,176.32071020000058,l,1.7589673000002222,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,9,4,67,2,176.33561559999998,,176.32176880000043,176.33561559999998,177.3356217999999,177.3356217999999,177.3356217999999,183.65424340000027,l,6.3024865000006685,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,9,5,68,6,183.66906180000024,,183.65531610000016,183.66906180000024,184.66909300000043,184.66909300000043,184.66909300000043,188.6886955,t,4.012286600000152,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,9,6,69,5,188.7023197999997,,188.68993539999974,188.7023197999997,189.70241129999977,189.70241129999977,189.70241129999977,195.00439069999993,t,5.287927099999251,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,10,0,70,1,195.01965850000033,,195.00551429999996,195.01965850000033,196.01965990000008,196.01965990000008,196.01965990000008,215.8053289999998,t,19.776622400000633,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,10,1,71,4,215.8198241,,215.80648010000004,215.8198241,216.8196699,216.8196699,216.8196699,217.47121930000048,l,0.6417830999998841,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,10,2,72,2,217.48634050000055,,217.47230060000038,217.48634050000055,218.48616020000009,218.48616020000009,218.48616020000009,219.2712803000004,l,0.7676115000003847,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,10,3,73,0,219.28629439999986,,219.2723403,219.28629439999986,220.28675459999977,220.28675459999977,220.28675459999977,222.68837460000032,l,2.398829400000068,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,10,4,74,6,222.70280640000055,,222.68946349999987,222.70280640000055,223.7030824000003,223.7030824000003,223.7030824000003,227.82139350000034,t,4.1078758999992715,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,10,5,75,5,227.83614829999988,,227.82246339999983,227.83614829999988,228.83628080000017,228.83628080000017,228.83628080000017,231.40455310000016,t,2.5568692000006195,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,10,6,76,3,231.4194711,,231.40562790000058,231.4194711,232.4196694000002,232.4196694000002,232.4196694000002,234.7377249000001,t,2.3117174999997587,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,11,0,77,2,234.75274160000026,,234.73882240000057,234.75274160000026,235.75315409999985,235.75315409999985,235.75315409999985,241.67255530000057,t,5.907890100000259,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,11,1,78,3,241.6865054,,241.67362860000048,241.6865054,242.68643659999998,242.68643659999998,242.68643659999998,247.30442459999995,t,4.608597100000225,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,11,2,79,6,247.31948120000015,,247.30550070000027,247.31948120000015,248.31976000000031,248.31976000000031,248.31976000000031,248.72087800000008,l,0.3875006000007488,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,11,3,80,5,248.73617560000002,,248.7219199000001,248.73617560000002,249.73616800000036,249.73616800000036,249.73616800000036,250.58784550000018,t,0.8355652000000191,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,11,4,81,4,250.6027453000006,,250.58899930000007,250.6027453000006,251.60274339999978,251.60274339999978,251.60274339999978,251.9383373999999,t,0.3316537000000608,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,11,5,82,1,251.95292059999974,,251.9395370000002,251.95292059999974,252.9530493000002,252.9530493000002,252.9530493000002,253.27198920000046,l,0.30805529999997816,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,11,6,83,0,253.28675420000036,,253.2733115000001,253.28675420000036,254.28647900000033,254.28647900000033,254.28647900000033,255.8886763999999,t,1.5980822000001353,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,12,0,84,6,255.90302470000006,,255.88977520000026,255.90302470000006,256.9032093000005,256.9032093000005,256.9032093000005,259.12270869999975,l,2.2144154999996317,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,12,1,85,1,259.1374166000005,,259.1238119999998,259.1374166000005,260.13655560000007,260.13655560000007,260.13655560000007,268.5380277000004,t,8.384084600000278,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,12,2,86,2,268.55315919999975,,268.5390894000002,268.55315919999975,269.55321860000004,269.55321860000004,269.55321860000004,277.8553302,t,8.299744799999644,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,12,3,87,0,277.87112760000036,,277.8565140999999,277.87112760000036,278.8698452999997,278.8698452999997,278.88667280000027,280.68904569999995,l,1.812388700000156,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,12,4,88,3,280.70308399999976,,280.69023300000026,280.70308399999976,281.70310640000025,281.70310640000025,281.70310640000025,285.30540199999996,t,3.5919119000000137,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,12,5,89,4,285.3200659000004,,285.3064819000001,285.3200659000004,286.31981199999973,286.31981199999973,286.31981199999973,287.50607409999975,l,1.1837815999997474,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,12,6,90,5,287.51969780000036,,287.5071810999998,287.51969780000036,288.51978099999997,288.51978099999997,288.51978099999997,289.85550710000007,l,1.3248733999998876,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,13,0,91,2,289.8706995000002,,289.8566013999998,289.8706995000002,290.86973820000003,290.86973820000003,290.8862575000003,291.48747040000035,t,0.6113483999997698,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,13,1,92,4,291.5030077000001,,291.4881494000001,291.5030077000001,292.50327930000003,292.50327930000003,292.50327930000003,292.871932,l,0.3541883999996571,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,13,2,93,3,292.8867424,,292.8730224000001,292.8867424,293.88673240000026,293.88673240000026,293.88673240000026,297.50463300000047,t,3.6056411000008666,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,13,3,94,1,297.5198218000005,,297.50568120000025,297.5198218000005,298.51997519999986,298.51997519999986,298.51997519999986,299.13841330000014,l,0.6059799000004205,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,13,4,95,5,299.1533847999999,,299.1394631000003,299.1533847999999,300.1530407,300.1530407,300.1530407,303.10603830000036,t,2.9471737000003486,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
